Date,Action,Price,Portfolio Value
2020-03-13,Buy,1529.348,823.9120000000003
2020-04-03,Sell,1617.048,10526.2
2020-05-01,Buy,1698.818,333.2920000000013
2020-10-16,Sell,1898.968,11727.100000000002
2021-01-08,Buy,1848.508,636.0520000000015
2021-07-09,Sell,1807.838,11483.080000000002
2022-01-28,Buy,1791.028,736.9120000000021
2022-05-31,Sell,1836.593,11756.470000000003
2022-08-24,Buy,1756.294,1218.706000000002
2023-06-08,Sell,1963.745,13001.176000000001
2024-01-10,Buy,2031.995,809.206000000002
2024-06-20,Sell,2362.018,14981.314000000002
