Action,Price,Position
Buy,1538.715,3.2494646506987976
Sell,1617.048,0.0
Buy,1710.048,3.072744340792299
Sell,1708.448,0.0
Buy,1901.098,2.7613641819295593
Sell,1942.548,0.0
Buy,1786.648,3.002316331408818
Sell,1895.868,0.0
Buy,1813.398,3.138856146634866
Sell,1762.568,0.0
Buy,1841.868,3.0037154674829702
Sell,1791.028,0.0
Buy,1827.158,2.9443203632609163
Sell,1864.208,0.0
Buy,1825.318,3.007051689488575
Sell,1963.315,0.0
Buy,1922.945,3.0701812520629876
Sell,1961.428,0.0
Buy,2045.355,2.944202582373917
Sell,2048.675,0.0
Buy,2115.815,2.8507758123677562
Sell,2368.328,0.0
Buy,2502.925,2.6974728280524998
